DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1/5/2015,AS,822,13830,1383002,33830,"Kahului, HI",Hawaii,14057,1405702,34057,"Portland, OR",Oregon,2305,2306,1,0,0,635,606,-29,0,-2,2562,,,,,
1,1/5/2015,AS,824,10299,1029904,30299,"Anchorage, AK",Alaska,13830,1383002,33830,"Kahului, HI",Hawaii,955,945,-10,0,-1,1525,1435,-50,0,-2,2797,,,,,
1,1/5/2015,AS,826,12758,1275803,32758,"Kona, HI",Hawaii,13796,1379603,32457,"Oakland, CA",California,1540,1535,-5,0,-1,2255,2224,-31,0,-2,2378,,,,,
1,1/5/2015,AS,831,14747,1474703,30559,"Seattle, WA",Washington,13830,1383002,33830,"Kahului, HI",Hawaii,1745,1742,-3,0,-1,2205,2207,2,0,0,2640,,,,,
1,1/5/2015,AS,833,14057,1405702,34057,"Portland, OR",Oregon,12173,1217302,32134,"Honolulu, HI",Hawaii,700,700,0,0,0,1110,1113,3,0,0,2603,,,,,
1,1/5/2015,AS,834,12173,1217302,32134,"Honolulu, HI",Hawaii,14057,1405702,34057,"Portland, OR",Oregon,1220,1216,-4,0,-1,1959,1925,-34,0,-2,2603,,,,,
1,1/5/2015,AS,837,14831,1483103,32457,"San Jose, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,910,908,-2,0,-1,1248,1236,-12,0,-1,2417,,,,,
1,1/5/2015,AS,838,12173,1217302,32134,"Honolulu, HI",Hawaii,13796,1379603,32457,"Oakland, CA",California,1505,1538,33,1,2,2226,2230,4,0,0,2409,,,,,
1,1/5/2015,AS,840,13830,1383002,33830,"Kahului, HI",Hawaii,13796,1379603,32457,"Oakland, CA",California,1640,1632,-8,0,-1,2345,2312,-33,0,-2,2349,,,,,
1,1/5/2015,AS,843,14747,1474703,30559,"Seattle, WA",Washington,12758,1275803,32758,"Kona, HI",Hawaii,1020,1018,-2,0,-1,1440,1442,2,0,0,2688,,,,,
1,1/5/2015,AS,844,12982,1298202,32982,"Lihue, HI",Hawaii,14831,1483103,32457,"San Jose, CA",California,1540,1542,2,0,0,2255,2237,-18,0,-2,2466,,,,,
1,1/5/2015,AS,847,14679,1467903,33570,"San Diego, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,700,654,-6,0,-1,1057,1049,-8,0,-1,2541,,,,,
1,1/5/2015,AS,850,12982,1298202,32982,"Lihue, HI",Hawaii,14679,1467903,33570,"San Diego, CA",California,1150,1143,-7,0,-1,1920,1905,-15,0,-1,2676,,,,,
1,1/5/2015,AS,851,14747,1474703,30559,"Seattle, WA",Washington,12173,1217302,32134,"Honolulu, HI",Hawaii,950,951,1,0,0,1405,1434,29,1,1,2677,0,0,29,0,0
1,1/5/2015,AS,854,12982,1298202,32982,"Lihue, HI",Hawaii,14747,1474703,30559,"Seattle, WA",Washington,1415,1414,-1,0,-1,2205,2148,-17,0,-2,2701,,,,,
1,1/5/2015,AS,855,14057,1405702,34057,"Portland, OR",Oregon,12758,1275803,32758,"Kona, HI",Hawaii,720,717,-3,0,-1,1133,1128,-5,0,-1,2607,,,,,
1,1/5/2015,AS,858,13830,1383002,33830,"Kahului, HI",Hawaii,14679,1467903,33570,"San Diego, CA",California,1625,1622,-3,0,-1,2345,2332,-13,0,-1,2541,,,,,
1,1/5/2015,AS,860,12173,1217302,32134,"Honolulu, HI",Hawaii,14747,1474703,30559,"Seattle, WA",Washington,825,819,-6,0,-1,1619,1541,-38,0,-2,2677,,,,,
1,1/5/2015,AS,861,14747,1474703,30559,"Seattle, WA",Washington,13830,1383002,33830,"Kahului, HI",Hawaii,905,926,21,1,1,1320,1354,34,1,2,2640,21,0,13,0,0
1,1/5/2015,AS,862,13830,1383002,33830,"Kahului, HI",Hawaii,14057,1405702,34057,"Portland, OR",Oregon,1210,1202,-8,0,-1,1943,1906,-37,0,-2,2562,,,,,
1,1/5/2015,AS,863,14057,1405702,34057,"Portland, OR",Oregon,13830,1383002,33830,"Kahului, HI",Hawaii,1715,1704,-11,0,-1,2128,2108,-20,0,-2,2562,,,,,
1,1/5/2015,AS,864,12758,1275803,32758,"Kona, HI",Hawaii,14747,1474703,30559,"Seattle, WA",Washington,1425,1426,1,0,0,2220,2206,-14,0,-1,2688,,,,,
1,1/5/2015,AS,865,13796,1379603,32457,"Oakland, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,720,713,-7,0,-1,1049,1030,-19,0,-2,2349,,,,,
1,1/5/2015,AS,866,12758,1275803,32758,"Kona, HI",Hawaii,14747,1474703,30559,"Seattle, WA",Washington,2305,2259,-6,0,-1,705,622,-43,0,-2,2688,,,,,
1,1/5/2015,AS,870,10299,1029904,30299,"Anchorage, AK",Alaska,12173,1217302,32134,"Honolulu, HI",Hawaii,1325,1319,-6,0,-1,1845,1803,-42,0,-2,2777,,,,,
1,1/5/2015,AS,871,12173,1217302,32134,"Honolulu, HI",Hawaii,10299,1029904,30299,"Anchorage, AK",Alaska,2150,2149,-1,0,-1,507,551,44,1,2,2777,0,0,44,0,0
1,1/5/2015,AS,874,13830,1383002,33830,"Kahului, HI",Hawaii,14747,1474703,30559,"Seattle, WA",Washington,1325,1313,-12,0,-1,2115,2025,-50,0,-2,2640,,,,,
1,1/5/2015,AS,875,14747,1474703,30559,"Seattle, WA",Washington,12758,1275803,32758,"Kona, HI",Hawaii,1725,1719,-6,0,-1,2145,2142,-3,0,-1,2688,,,,,
1,1/5/2015,AS,879,14747,1474703,30559,"Seattle, WA",Washington,12982,1298202,32982,"Lihue, HI",Hawaii,835,831,-4,0,-1,1305,1257,-8,0,-1,2701,,,,,
