DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,12/8/2014,AA,283,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1030,1023,-7,0,-1,1435,1416,-19,0,-2,2556,,,,,
1,12/15/2014,AA,283,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1030,1106,36,1,2,1435,1514,39,1,2,2556,36,0,3,0,0
1,12/22/2014,AA,283,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1030,1028,-2,0,-1,1435,1441,6,0,0,2556,,,,,
1,12/29/2014,AA,283,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1030,1029,-1,0,-1,1435,1420,-15,0,-1,2556,,,,,
1,12/1/2014,AA,284,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1605,1629,24,1,1,2335,2326,-9,0,-1,2556,,,,,
1,12/22/2014,AA,141,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1400,1421,21,1,1,1755,1753,-2,0,-1,2556,,,,,
1,12/29/2014,AA,141,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1400,1528,88,1,5,1755,1941,106,1,7,2556,0,0,18,0,88
1,12/22/2014,AA,142,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2315,2307,-8,0,-1,640,606,-34,0,-2,2556,,,,,
1,12/29/2014,AA,142,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2315,2310,-5,0,-1,640,901,,,,2556,,,,,
1,12/22/2014,AA,212,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1627,1617,-10,0,-1,2335,2333,-2,0,-1,2486,,,,,
1,12/29/2014,AA,212,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1627,1629,2,0,0,2335,2322,-13,0,-1,2486,,,,,
1,12/1/2014,AA,246,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2235,2250,15,1,1,545,534,-11,0,-1,2504,,,,,
1,12/8/2014,AA,246,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2235,2223,-12,0,-1,545,532,-13,0,-1,2504,,,,,
1,12/15/2014,AA,246,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2235,2226,-9,0,-1,545,536,-9,0,-1,2504,,,,,
1,12/22/2014,AA,246,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2235,2220,-15,0,-1,545,525,-20,0,-2,2504,,,,,
1,12/8/2014,AS,801,14057,1405702,34057,"Portland, OR",Oregon,12982,1298202,32982,"Lihue, HI",Hawaii,1025,1013,-12,0,-1,1436,1437,1,0,0,2631,,,,,
1,12/8/2014,AS,802,12758,1275803,32758,"Kona, HI",Hawaii,14057,1405702,34057,"Portland, OR",Oregon,1250,1254,4,0,0,2035,1953,-42,0,-2,2607,,,,,
1,12/8/2014,AS,805,14893,1489302,33192,"Sacramento, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1010,1004,-6,0,-1,1350,1338,-12,0,-1,2404,,,,,
1,12/8/2014,AS,808,13830,1383002,33830,"Kahului, HI",Hawaii,10666,1066602,30666,"Bellingham, WA",Washington,1425,1424,-1,0,-1,2218,2148,-30,0,-2,2681,,,,,
1,12/8/2014,AS,809,14057,1405702,34057,"Portland, OR",Oregon,13830,1383002,33830,"Kahului, HI",Hawaii,1120,1117,-3,0,-1,1532,1528,-4,0,-1,2562,,,,,
1,12/8/2014,AS,812,13830,1383002,33830,"Kahului, HI",Hawaii,14831,1483103,32457,"San Jose, CA",California,1450,1443,-7,0,-1,2159,2135,-24,0,-2,2355,,,,,
1,12/8/2014,AS,817,13796,1379603,32457,"Oakland, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,950,946,-4,0,-1,1324,1304,-20,0,-2,2378,,,,,
1,12/8/2014,AS,818,13830,1383002,33830,"Kahului, HI",Hawaii,14893,1489302,33192,"Sacramento, CA",California,1200,1154,-6,0,-1,1907,1852,-15,0,-1,2404,,,,,
1,12/8/2014,AS,822,13830,1383002,33830,"Kahului, HI",Hawaii,14057,1405702,34057,"Portland, OR",Oregon,2305,2326,21,1,1,635,608,-27,0,-2,2562,,,,,
